,Artiste,Titre,Listeners,Unnamed: 3,Unnamed: 4
606,travi-scott,carousel,62976,,
607,guns-n-roses,november-rain,960769,,
608,fleetwood-mac,everywhere-2017-remastered,40306,,
609,joji,attention,22058,,
610,kanye-west,famous,218458,,
611,my-chemical-romance,teenagers,726043,,
612,little-mix,wasabi,15399,,
613,america,a-horse-with-no-name,477597,,
614,mumford-sons,woman,15534,,
615,pink-floyd,comfortably-numb,893963,,
616,loud-luxury,body,77960,,
617,daft-punk,one-more-time,1164357,,
618,ariana-grande,love-me-harder,279242,,
619,creedence-clearwater-revival,have-you-ever-seen-the-rain,430870,,
620,kali-uchis,after-the-storm-feat-tyler-the-creator-bootsy-collins,73009,,
621,motorhead,ace-of-spades,925277,,
622,ac-dc,you-shook-me-all-night-long,811851,,
623,plain-white-ts,hey-there-delilah,929751,,
624,andy-williams,its-the-most-wonderful-time-of-the-year,319871,,
625,sufjan-stevens,mystery-of-love,77789,,
626,bts,fake-love,49119,,
627,travi-scott,no-bystanders,52504,,
628,frank-ocean,white-ferrari,122933,,
629,avicii,lonely-together-feat-rita-ora,128137,,
630,little-mix,monster-in-me,15198,,
