Name,titre,Listeners,,
Metro Boomin,Up To Something (feat. Travis Scott & Young Thug),16813,,
Green Day,American Idiot,970978,,
Paramore,Misery Business,993996,,
Edward Sharpe & The Magnetic Zeros,Home,813738,,
The Strokes,Someday,1097038,,
MGMT,Little Dark Age,106150,,
MGMT,Time to Pretend,1387720,,
Ariana Grande,Get Well Soon,49831,,
John Mayer,New Light,64867,,
Mazzy Star,Fade Into You,470009,,
Passenger,Let Her Go,671563,,
The 1975,Somebody Else,152653,,
Imagine Dragons,Stuck,16669,,
Robyn,Send to Robin Immediately,24175,,
Billie Eilish,COPYCAT,56901,,
The Rolling Stones,Sympathy for the Devil,977911,,
David Guetta,Say My Name,40962,,
AC/DC,Thunderstruck,734881,,
Adele,Someone Like You,977027,,
The Cranberries,Linger,734929,,
Robyn,Human Being,24299,,
Daughters,Satan in the Wait,19426,,
Ed Sheeran,Thinking Out Loud,504164,,
BTS,IDOL,39061,,
The 1975,It's Not Living (If It's Not with You),27506,,
Arctic Monkeys,When the Sun Goes Down,949861,,
Queen,Don't Stop Me Now,1020162,,
Taylor Swift,I Did Something Bad,73365,,
Kygo,Born To Be Yours,74292,,
Little Mix,Think About Us,16475,,
Demi Lovato,Sorry Not Sorry,161454,,
Radiohead,Paranoid Android,1328316,,
Rihanna,Needed Me,239168,,
Pearl Jam,Alive,940647,,
Foals,My Number,465550,,
The Beatles,Come Together - Remastered 2009,109516,,
Lady Gaga,Million Reasons,169619,,
Robyn,Between The Lines,23329,,
Kids See Ghosts,Kids See Ghosts,63308,,
Lauv,I Like Me Better,131951,,
Cardi B,Bodak Yellow,147039,,
Keane,Somewhere Only We Know,1052615,,
Imagine Dragons,Love,16363,,
Billie Eilish,my boy,54618,,
Audioslave,Like a Stone,881116,,
Beck,Loser,926261,,
Pusha T,If You Know You Know,64177,,
Fleetwood Mac,Go Your Own Way - 2004 Remastered Edition,109119,,
Muse,The Dark Side (Alternate Reality Version),16276,,
Lana Del Rey,Video Games - remastered,39402,,
Boston,More Than a Feeling,899731,,
Jonas Blue,Rise,73894,,
Peter Bjorn and John,Young Folks,876335,,
Rosalía,PIENSO EN TU MIRÁ - Cap.3: Celos,21200,,
Drake,Passionfruit,199827,,
Men at Work,Down Under,592429,,
Lady Gaga,Look What I Found,31556,,
